categoria,n,acuerdo,kappa,n_decididas,acuerdo_decididas,a_un_paso,n_en_escala
forma_de_gobierno,80,0.95,0.869,68,0.941,,
regla_de_decision,80,0.938,0.909,73,0.932,,
regimen_de_propiedad,80,0.95,0.907,67,0.94,,
sistema_economico,80,0.8,0.713,66,0.758,,
resolucion_de_disputas,80,0.85,0.782,62,0.806,,
castigo,80,0.925,0.871,64,0.906,,
salida,80,0.787,0.71,52,0.673,,
principio_distributivo,80,0.762,0.663,64,0.703,,
medicamentos,80,0.887,0.785,63,0.857,,
bote,80,0.975,0.929,63,0.968,,
conflicto_de_recursos_resuelto_por,80,0.912,0.839,80,0.912,,
eje_colectivo_individual,80,0.825,0.686,69,0.797,1.0,68
proteccion_ambiental,80,0.875,0.776,80,0.875,,
